Timestamp,Method,Overloaded_BS,Jain_Index,Throughput,Avg_Utilization
2025-11-10 00:43:45,baseline,1,0.4357,236,0.412
2025-11-10 00:43:56,baseline,1,0.4455,237,0.415
2025-11-10 00:44:07,baseline,1,0.4282,229,0.401
2025-11-10 00:44:18,baseline,1,0.4245,226,0.397
2025-11-10 00:44:29,baseline,1,0.4363,232,0.407
2025-11-10 00:44:40,baseline,1,0.4245,228,0.4
2025-11-10 00:44:51,baseline,1,0.437,234,0.41
2025-11-10 00:45:02,baseline,1,0.447,239,0.419
2025-11-10 00:45:13,baseline,1,0.4426,236,0.413
2025-11-10 00:45:24,baseline,1,0.4313,232,0.406
2025-11-10 00:45:35,baseline,1,0.4393,238,0.417
2025-11-10 00:45:46,baseline,1,0.4656,246,0.432
2025-11-10 00:45:57,baseline,1,0.4519,241,0.423
2025-11-10 00:46:08,baseline,1,0.4414,234,0.411
2025-11-10 00:46:19,baseline,1,0.4593,240,0.421
2025-11-10 00:46:30,baseline,1,0.4329,233,0.407
2025-11-10 00:46:41,baseline,1,0.4179,225,0.395
2025-11-10 00:46:52,baseline,1,0.4632,244,0.428
2025-11-10 00:47:03,baseline,1,0.4341,231,0.405
2025-11-10 00:47:14,baseline,1,0.4321,230,0.403
2025-11-10 00:47:25,baseline,1,0.4198,230,0.402
2025-11-10 00:47:37,baseline,1,0.4427,240,0.42
2025-11-10 00:47:48,baseline,1,0.437,234,0.41
2025-11-10 00:47:59,baseline,1,0.4189,226,0.396
2025-11-10 00:48:10,baseline,1,0.4797,250,0.44
2025-11-10 00:48:21,baseline,1,0.439,237,0.414
2025-11-10 00:48:32,baseline,1,0.4693,243,0.426
2025-11-10 00:48:44,baseline,1,0.4475,235,0.413
2025-11-10 00:48:55,baseline,1,0.3992,221,0.386
2025-11-10 00:49:06,baseline,1,0.4172,231,0.403
2025-11-10 00:52:16,baseline,1,0.4211,228,0.399
2025-11-10 00:52:27,baseline,1,0.4658,251,0.44
2025-11-10 00:52:38,baseline,1,0.4286,234,0.41
2025-11-10 00:52:49,baseline,1,0.4853,248,0.436
2025-11-10 00:53:00,baseline,1,0.4412,234,0.411
2025-11-10 00:53:11,baseline,1,0.4098,223,0.39
2025-11-10 00:53:22,baseline,1,0.4554,238,0.417
2025-11-10 00:53:33,baseline,1,0.405,225,0.392
2025-11-10 00:53:45,baseline,1,0.4001,223,0.389
2025-11-10 00:53:56,baseline,1,0.4233,227,0.397
2025-11-10 00:54:07,baseline,1,0.4627,244,0.429
2025-11-10 00:54:18,baseline,1,0.4233,230,0.403
2025-11-10 00:54:30,baseline,1,0.4312,230,0.402
2025-11-10 00:54:41,baseline,1,0.4552,242,0.423
2025-11-10 00:54:52,baseline,1,0.4135,222,0.39
2025-11-10 00:55:03,baseline,1,0.4553,244,0.427
2025-11-10 00:55:14,baseline,1,0.4476,237,0.415
2025-11-10 00:55:25,baseline,1,0.4541,236,0.415
2025-11-10 00:55:36,baseline,1,0.4296,230,0.403
2025-11-10 00:55:47,baseline,1,0.4508,239,0.419
2025-11-10 00:55:59,baseline,1,0.4638,240,0.421
2025-11-10 00:56:10,baseline,1,0.4336,233,0.407
2025-11-10 00:56:21,baseline,1,0.4417,235,0.412
2025-11-10 00:56:31,baseline,1,0.4815,243,0.429
2025-11-10 00:56:42,baseline,1,0.4193,229,0.4
